"ts","disk_id","throughput","latency"
1660827615,"disk1",15709294.48,36.5
1660827630,"disk1",11601103.98,37.01
1660827645,"disk1",22953070.62,41.76
1660827660,"disk1",26910082.33,53.46
1660827675,"disk1",16309727.1,43.01
1660827690,"disk1",17029056.26,45.17
1660827705,"disk1",15113050.08,39.6
1660827720,"disk1",17724106.17,40.84
1660827735,"disk1",27428577.16,40.13
1660827750,"disk1",24239975.72,23.71
1660827765,"disk1",26011705.46,31.31
1660827780,"disk1",16097486.31,32.05
1660827795,"disk1",32393676.1,35.05
1660827810,"disk1",27028899.51,32.08
1660827825,"disk1",21065409.14,20.14
1660827840,"disk1",20797314.99,23.82
1660827855,"disk1",24577185.72,34.66
1660827870,"disk1",16054250.3,22.73
1660827885,"disk1",38459485.65,36.56
1660827900,"disk1",28487336.8,43.62
1660827915,"disk1",25500527.37,33.55
1660827930,"disk1",20275840.21,38.91
1660827945,"disk1",17242115.05,64.75
1660827960,"disk1",24035687.86,46.52
1660827975,"disk1",32749999.28,30.78
1660827990,"disk1",36721194.26,21.45
1660828005,"disk1",32151960.92,19.14
1660828020,"disk1",22919321.62,22.53
1660828035,"disk1",32223742.8,19.63
1660828050,"disk1",17696705.17,27.34
1660828065,"disk1",23853235.8,38.41
1660828080,"disk1",23622019.61,59.88
1660828095,"disk1",23652353.76,40.67
1660828110,"disk1",24769786.26,40.59
1660828125,"disk1",23886767.97,45.31
1660828140,"disk1",25898833.8,42.16
1660828155,"disk1",26465598.14,45.43
1660828170,"disk1",30900379.55,45.52
1660828185,"disk1",19359317.11,46.28
1660828200,"disk1",30465991.7,47.22
1660828215,"disk1",26775694.74,45.25
1660828230,"disk1",24275038.99,42.99
1660828245,"disk1",24686712.08,43.59
1660828260,"disk1",26953051.66,39.31
1660828275,"disk1",11924011.36,43.12
1660828290,"disk1",20535173.33,40.57
1660828305,"disk1",13146747.94,41.01
1660828320,"disk1",14205330.31,46.28
1660828335,"disk1",26426584.8,44.94
1660828350,"disk1",24294829.9,37.91
1660828365,"disk1",11732971.07,45.05
1660828380,"disk1",18007434.28,46.55
1660828395,"disk1",18560284.48,41.76
1660828410,"disk1",30812770.95,39.36
1660828425,"disk1",16978644.73,42.51
1660828440,"disk1",19079776.6,39.4
1660828455,"disk1",21320104.45,37.8
1660828470,"disk1",21819634.19,40.23
1660828485,"disk1",11649753.64,37.36
1660828500,"disk1",19880947.76,49.35
1660828515,"disk1",32692041.51,37.54
1660828530,"disk1",15590119.09,38.61
1660828545,"disk1",29375025.44,38.74
1660828560,"disk1",35890226.6,63.53
1660828575,"disk1",18996007.91,34.79
1660828590,"disk1",18788854.3,37.4
1660828605,"disk1",18364541.94,37.19
1660828620,"disk1",15901203.92,37.42
1660828635,"disk1",21049984.97,38.34
1660828650,"disk1",32067805.7,40.44
1660828665,"disk1",17093366.23,39.18
1660828680,"disk1",20213763.86,38.3
1660828695,"disk1",18650849.46,34.25
1660828710,"disk1",30547814.22,38.75
1660828725,"disk1",22227679.06,36.25
1660828740,"disk1",20307522.21,37.77
1660828755,"disk1",31926748.44,47.22
1660828770,"disk1",22020196.07,40.67
