"ts","disk_id","throughput","latency"
1659963615,"disk1",10920497,21.68
1659963630,"disk1",11140559.08,18.92
1659963645,"disk1",13872375.2,27
1659963660,"disk1",9166876.23,36.15
1659963675,"disk1",17892357.73,31.65
1659963690,"disk1",24697079.58,33.29
1659963705,"disk1",11430313.38,31.09
1659963720,"disk1",20199289.78,31.69
1659963735,"disk1",24863408.66,28.81
1659963750,"disk1",18387822.25,24.5
1659963765,"disk1",10624176.38,25.69
1659963780,"disk1",18157770.8,32.76
1659963795,"disk1",16881531.85,31.05
1659963810,"disk1",22858962.82,34.09
1659963825,"disk1",29124715.85,33.73
1659963840,"disk1",18639116.83,33.77
1659963855,"disk1",29302080.78,30.81
1659963870,"disk1",27860168.53,27.22
1659963885,"disk1",16467807.54,27.86
1659963900,"disk1",18673971.64,28.54
1659963915,"disk1",23006195.18,31.9
1659963930,"disk1",11788487.61,21.08
1659963945,"disk1",7960098.28,28.69
1659963960,"disk1",14008342.46,22.29
1659963975,"disk1",6944268.2,26.01
1659963990,"disk1",28193313.26,24.69
1659964005,"disk1",14489152.6,31.89
1659964020,"disk1",21489779.52,28.51
1659964035,"disk1",25035832.84,25.69
1659964050,"disk1",22712327.03,27
1659964065,"disk1",33002681.87,26.3
1659964080,"disk1",10754216.33,30.99
1659964095,"disk1",21870622.61,23.25
1659964110,"disk1",9862358.42,27.97
1659964125,"disk1",17698132.47,26.84
1659964140,"disk1",23075100.62,29.85
1659964155,"disk1",18067654.89,27.76
1659964170,"disk1",20396246.04,27.17
1659964185,"disk1",21036438.67,25.5
1659964200,"disk1",17617789.77,28.69
1659964215,"disk1",12118074.29,27.07
1659964230,"disk1",25079796.08,30.86
1659964245,"disk1",21977582.31,35.18
1659964260,"disk1",11346381.38,31.2
1659964275,"disk1",26995999.13,28.78
1659964290,"disk1",10370739.05,19.91
1659964305,"disk1",13573249.67,24.69
1659964320,"disk1",18462248.94,25.12
1659964335,"disk1",28418120.5,28.25
1659964350,"disk1",15878296.07,28.43
1659964365,"disk1",15712364.13,29.04
1659964380,"disk1",19557989.99,27.67
1659964395,"disk1",16451457.98,23.14
1659964410,"disk1",10718318.69,18.88
1659964425,"disk1",12646052.5,24.82
1659964440,"disk1",11530106.27,27.05
1659964455,"disk1",13705213.11,24.99
1659964470,"disk1",18570756.43,28.42
1659964485,"disk1",11558293.3,30.47
1659964515,"disk1",14079490.3,23.68
1659964530,"disk1",17429473.6,22.78
1659964545,"disk1",20145610.79,28
1659964560,"disk1",12721837.56,22.54
1659964575,"disk1",12440948.87,27.67
1659964590,"disk1",17994417.58,35.66
1659964605,"disk1",23208051.3,29.66
1659964620,"disk1",17689348.68,32.01
1659964635,"disk1",13420240.52,29.77
1659964650,"disk1",27300802.99,27.03
1659964665,"disk1",15601765.3,33.26
1659964680,"disk1",11967391.42,30.59
1659964695,"disk1",11937749.99,32.19
1659964710,"disk1",18534234.93,24.91
1659964725,"disk1",20732676.5,28.53
1659964740,"disk1",24658259.27,30.19
1659964755,"disk1",13902564.97,30.22
1659964770,"disk1",6306271.52,26.74
1659964785,"disk1",13898897.63,21.7
1659964800,"disk1",20264593.95,27.97
1659964815,"disk1",27265953.42,30.78
1659964830,"disk1",20658043.48,30.25
1659964845,"disk1",16905516.86,27.39
1659964860,"disk1",18486593.09,29.53
1659964875,"disk1",18620468.14,30.47
1659964890,"disk1",17311798.83,29.68
1659964905,"disk1",25648060.25,29.57
1659964920,"disk1",21148404.84,32.4
1659964935,"disk1",9784760.73,28.57
1659964950,"disk1",22175956.86,24.55
1659964965,"disk1",14993671.21,27.78
1659964980,"disk1",13160138.73,27.18
1659964995,"disk1",25047853.39,25.93
1659965010,"disk1",24472491.53,31.21
1659965025,"disk1",15964452.41,30.22
1659965040,"disk1",12520884.95,29.99
1659965055,"disk1",15494217.04,26.67
1659965070,"disk1",17330258.31,27.44
1659965085,"disk1",9631813.19,28.84
1659965100,"disk1",10623464.61,26.15
1659965115,"disk1",14017556.34,26.19
1659965130,"disk1",16319596.31,28.55
1659965145,"disk1",17422363.7,28.02
1659965160,"disk1",13610895.82,35.52
1659965175,"disk1",9650348.86,29.99
1659965190,"disk1",14121360.23,24.75
1659965205,"disk1",15179741.31,27.3
1659965220,"disk1",9693185.58,28.31
1659965235,"disk1",18388354.72,24.08
1659965250,"disk1",12910106.79,28.04
1659965265,"disk1",18603779.36,27.82
1659965280,"disk1",27563301.9,29.1
1659965295,"disk1",19089743.95,31.45
1659965310,"disk1",19620846.34,28.91
1659965325,"disk1",19790883.11,28.78
1659965340,"disk1",22090833.32,29.6
1659965355,"disk1",9713788.21,30.64
1659965370,"disk1",13152275.7,25.72
1659965385,"disk1",8141406.67,26.13
1659965400,"disk1",10198013.07,29.1
1659965415,"disk1",16920995.68,26.64
1659965430,"disk1",25297430.43,30.14
1659965445,"disk1",25160273.33,32.56
1659965460,"disk1",22788610.83,27.77
1659965475,"disk1",11172139.45,32.32
1659965490,"disk1",15646518.85,33.53
1659965505,"disk1",18481987.61,27.92
1659965520,"disk1",26341002.38,29.05
1659965535,"disk1",17990416.47,31.24
1659965550,"disk1",26734506.51,32.84
1659965565,"disk1",19792750.64,28.13
1659965580,"disk1",15753795.06,32.05
1659965595,"disk1",25367415.48,32.63
1659965610,"disk1",18301452.58,27.55
1659965625,"disk1",19859305.62,30.7
1659965640,"disk1",17243631.17,28.47
1659965655,"disk1",29125842.01,28.8
1659965670,"disk1",14728435.44,28.87
1659965685,"disk1",17931944.4,31.66
1659965700,"disk1",14250033.12,26.23
1659965715,"disk1",18231835.56,35.28
1659965730,"disk1",11279452.48,31.5
