"ts","disk_id","throughput","latency"
1660654815,"disk1",16826735.17,26.71
1660654830,"disk1",10382442.6,25.41
1660654845,"disk1",19139593.09,29.02
1660654860,"disk1",15827391.74,28.95
1660654875,"disk1",16326962.88,29.2
1660654890,"disk1",16836806.78,27.44
1660654905,"disk1",8096989.05,26.98
1660654920,"disk1",23541800.74,29.65
1660654935,"disk1",11962594.15,26.28
1660654950,"disk1",11993673.56,26.89
1660654965,"disk1",23283152.03,30.35
1660654980,"disk1",22285792.75,32.7
1660654995,"disk1",28962454.44,31.56
1660655010,"disk1",25626007.07,30.23
1660655025,"disk1",31514510.93,30.36
1660655040,"disk1",27402390.79,29.6
1660655055,"disk1",13447428.28,27.77
1660655070,"disk1",19254568.52,26.96
1660655085,"disk1",14413433.44,27.04
1660655100,"disk1",21968111.38,30.21
1660655115,"disk1",19912022.35,29.45
1660655130,"disk1",14089974.25,25.37
1660655145,"disk1",24193543.3,30.26
1660655160,"disk1",19693976.52,33.16
1660655175,"disk1",19487135.72,31
1660655190,"disk1",27981743.17,31.5
1660655205,"disk1",23191845.82,32.54
1660655220,"disk1",23919254.8,31.91
1660655235,"disk1",18829668.95,29.79
1660655250,"disk1",19036890.6,28.96
1660655265,"disk1",10603532.59,29.79
1660655280,"disk1",28803886.84,31.9
1660655295,"disk1",20493313.64,29.06
1660655310,"disk1",30659499.03,30.16
1660655325,"disk1",17187666.76,27.77
1660655340,"disk1",23753936.37,29.27
1660655355,"disk1",21243997.23,28.54
1660655370,"disk1",14528944.69,28.69
1660655385,"disk1",17073245.76,28.94
1660655400,"disk1",16316889.8,29.98
1660655415,"disk1",10074458.95,25.36
1660655430,"disk1",14052556.74,26.72
1660655445,"disk1",15603541.08,27.11
1660655460,"disk1",8531739.44,28.24
1660655475,"disk1",7343854.29,24.74
1660655490,"disk1",6496440.09,23.16
1660655505,"disk1",17234606.68,29.01
1660655520,"disk1",11746752.97,27.22
1660655535,"disk1",23639623.84,29.31
1660655550,"disk1",20576788.01,28.69
1660655565,"disk1",11888742.28,25.39
1660655580,"disk1",13789821.6,27.43
1660655595,"disk1",13329082.62,26.59
